"","Episode_Number","CHANDLER","JOEY","MONICA","PHOEBE","RACHEL","ROSS","season"
"1",1,76,80,141,38,94,94,"01"
"2",2,32,17,56,28,75,126,"01"
"3",3,72,56,103,76,52,66,"01"
"4",4,64,47,94,62,86,78,"01"
"5",5,70,72,66,46,74,80,"01"
"6",6,115,60,68,20,30,43,"01"
"7",7,49,54,46,49,86,106,"01"
"8",8,74,22,68,32,36,96,"01"
"9",9,52,64,96,40,70,71,"01"
"10",10,61,38,46,97,36,58,"01"
"11",11,84,64,82,79,38,124,"01"
"12",12,68,62,42,83,72,91,"01"
"13",13,70,85,36,54,54,24,"01"
"14",14,80,42,42,22,38,44,"01"
"15",15,72,62,78,59,62,74,"01"
"16",16,50,26,17,38,22,32,"01"
"17",17,40,53,109,63,103,68,"01"
"18",18,61,51,77,67,129,119,"01"
"19",19,36,34,74,47,114,100,"01"
"20",20,84,46,62,36,114,38,"01"
"21",21,40,42,102,28,61,58,"01"
"22",22,113,44,96,85,68,74,"01"
"23",23,42,50,40,38,44,112,"01"
"24",24,70,81,76,44,105,75,"01"
"25",25,54,43,53,64,90,86,"02"
"26",26,30,50,63,42,68,44,"02"
"27",27,44,24,30,29,28,22,"02"
"28",28,0,0,0,0,0,0,"02"
"29",29,63,30,38,25,31,56,"02"
"30",30,0,0,0,0,0,0,"02"
"31",31,0,0,0,0,0,0,"02"
"32",32,0,18,0,0,0,46,"02"
"33",33,0,1,0,0,0,0,"02"
"34",34,0,34,0,0,0,39,"02"
"35",35,20,18,29,28,36,40,"02"
"36",36,0,0,0,0,0,0,"02"
"37",37,0,0,0,0,0,0,"02"
"38",38,0,0,0,0,0,0,"02"
"39",39,0,0,0,0,0,0,"02"
"40",40,0,0,0,0,0,0,"02"
"41",41,0,0,0,0,0,0,"02"
"42",42,0,0,0,0,0,0,"02"
"43",43,0,0,0,0,0,0,"02"
"44",44,0,0,0,0,0,0,"02"
"45",45,0,0,0,0,0,0,"02"
"46",46,0,0,0,0,0,0,"02"
"47",47,0,0,0,0,0,0,"02"
"48",48,82,72,60,38,78,98,"03"
"49",49,42,39,33,29,45,76,"03"
"50",50,54,73,67,74,63,70,"03"
"51",51,95,86,56,72,44,44,"03"
"52",52,82,70,50,109,52,69,"03"
"53",53,83,50,116,84,42,64,"03"
"54",54,24,68,32,62,74,104,"03"
"55",55,88,74,66,46,78,60,"03"
"56",56,84,76,132,48,66,122,"03"
"57",57,60,48,30,40,64,109,"03"
"58",58,104,58,88,36,114,108,"03"
"59",59,60,52,50,32,80,96,"03"
"60",60,50,65,101,50,74,59,"03"
"61",61,60,44,52,66,47,56,"03"
"62",62,50,40,54,66,92,90,"03"
"63",63,48,42,66,61,107,174,"03"
"64",64,78,78,74,102,88,106,"03"
"65",65,46,40,68,84,45,38,"03"
"66",66,70,60,38,32,70,76,"03"
"67",67,70,90,46,60,82,44,"03"
"68",68,84,60,110,60,144,140,"03"
"69",69,41,106,62,46,52,76,"03"
"70",70,36,42,72,92,40,68,"03"
"71",71,53,22,84,70,60,36,"03"
"72",72,60,56,56,96,102,88,"03"
"73",73,46,50,52,70,66,86,"04"
"74",74,56,56,80,50,82,68,"04"
"75",75,59,25,38,22,43,4,"04"
"76",76,52,96,52,62,58,38,"04"
"77",77,105,39,62,52,56,58,"04"
"78",78,47,38,33,34,25,28,"04"
"79",79,172,96,32,44,20,54,"04"
"80",80,88,94,96,48,58,68,"04"
"81",81,48,56,88,72,86,56,"04"
"82",82,100,58,72,52,62,38,"04"
"83",83,54,40,64,78,44,38,"04"
"84",84,88,82,110,56,102,96,"04"
"85",85,74,70,60,64,98,76,"04"
"86",86,78,70,93,72,128,50,"04"
"87",87,80,52,44,34,52,84,"04"
"88",88,38,72,24,48,151,56,"04"
"89",89,68,58,88,72,44,86,"04"
"90",90,65,48,22,70,78,75,"04"
"91",91,106,101,60,52,58,88,"04"
"92",92,63,42,92,72,112,82,"04"
"93",93,56,50,32,20,140,140,"04"
"94",94,64,132,66,68,62,80,"04"
"95",95,83,112,77,129,97,111,"04"
"96",96,98,44,86,24,90,110,"05"
"97",97,58,58,98,48,122,80,"05"
"98",98,60,48,52,104,66,32,"05"
"99",99,62,70,84,58,36,72,"05"
"100",100,118,82,116,35,82,70,"05"
"101",101,38,80,71,56,74,76,"05"
